smallcode,total,APPROVED BY Pengawas,COMPLETED BY Admin Kabupaten,DRAFT,EDITED BY Admin Kabupaten,OPEN,REJECTED BY Admin Kabupaten,REJECTED BY Pengawas,REVOKED BY Admin Kabupaten,REVOKED BY Pengawas,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT
6.40902E+15,135,10,0,0,0,125,0,0,0,0,0,0
6.40902E+15,125,47,0,0,0,57,0,3,0,0,18,0
6.40902E+15,184,109,0,0,0,27,0,48,0,0,0,0
6.40902E+15,120,32,0,0,0,68,0,10,0,0,10,0
6.40902E+15,110,96,0,0,0,6,0,8,0,0,0,0
6.40902E+15,50,0,0,0,0,50,0,0,0,0,0,0
6.40902E+15,52,12,0,0,0,20,0,20,0,0,0,0
6.40902E+15,80,5,0,0,0,75,0,0,0,0,0,0
6.40902E+15,100,6,0,0,0,93,0,1,0,0,0,0
6.40903E+15,88,88,0,0,0,0,0,0,0,0,0,0
6.40903E+15,98,0,0,0,0,98,0,0,0,0,0,0
6.40903E+15,131,116,0,0,12,0,1,0,0,0,1,1
6.40903E+15,112,33,0,0,0,78,0,1,0,0,0,0
6.40903E+15,134,0,0,0,0,134,0,0,0,0,0,0
6.40903E+15,228,224,0,0,2,2,0,0,0,0,0,0
6.40903E+15,168,0,0,0,0,168,0,0,0,0,0,0
6.40903E+15,181,113,0,0,0,66,0,1,0,0,0,1
6.40903E+15,159,156,0,0,0,3,0,0,0,0,0,0
6.40903E+15,114,111,0,0,3,0,0,0,0,0,0,0
6.40903E+15,73,28,0,0,0,45,0,0,0,0,0,0
6.40903E+15,100,0,0,0,0,100,0,0,0,0,0,0
6.40903E+15,81,4,0,26,0,51,0,0,0,0,0,0
6.40903E+15,204,172,0,0,0,0,0,31,0,0,0,1
6.40903E+15,156,44,0,37,0,28,0,1,0,1,45,0
6.40903E+15,192,164,0,0,2,25,0,0,0,1,0,0
6.40903E+15,186,163,0,0,9,11,0,0,0,2,1,0
6.40903E+15,135,0,0,0,0,135,0,0,0,0,0,0
6.40903E+15,191,103,0,0,0,72,0,0,0,0,16,0
6.40903E+15,131,0,0,0,0,126,0,0,0,0,5,0
6.40903E+15,142,0,0,0,0,142,0,0,0,0,0,0
6.40903E+15,167,56,0,32,0,78,0,1,0,0,0,0
6.40903E+15,39,0,0,1,0,38,0,0,0,0,0,0
6.40903E+15,176,169,0,5,0,2,0,0,0,0,0,0
6.40903E+15,175,0,0,0,0,175,0,0,0,0,0,0
6.40903E+15,79,0,0,0,0,78,0,0,0,0,0,1
6.40903E+15,198,196,0,0,0,0,0,0,0,2,0,0
6.40903E+15,136,65,0,0,0,26,0,3,0,1,41,0
6.40903E+15,88,2,0,0,0,85,0,0,0,0,0,1
6.40903E+15,83,0,0,0,0,83,0,0,0,0,0,0
6.40903E+15,9,0,0,0,0,9,0,0,0,0,0,0
6.40903E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40903E+15,3,0,0,0,0,3,0,0,0,0,0,0
6.40903E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40903E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40903E+15,9,0,0,0,0,9,0,0,0,0,0,0
6.40903E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40903E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40903E+15,29,0,0,0,0,29,0,0,0,0,0,0
6.40903E+15,112,0,0,0,0,112,0,0,0,0,0,0
6.40903E+15,255,63,0,1,0,118,0,5,0,0,68,0
6.40903E+15,90,0,0,0,0,87,0,0,0,0,3,0
6.40903E+15,176,175,0,1,0,0,0,0,0,0,0,0
6.40903E+15,91,91,0,0,0,0,0,0,0,0,0,0
6.40903E+15,167,24,0,18,0,125,0,0,0,0,0,0
6.40903E+15,211,206,0,0,0,4,0,1,0,0,0,0
